,state,year,lrmer_co2e_kg_mwh,case
301,MN,2024,511.6,HighRECost
302,MN,2026,389.9,HighRECost
303,MN,2028,384.2,HighRECost
304,MN,2030,515.5,HighRECost
305,MN,2032,427.8,HighRECost
306,MN,2034,464.3,HighRECost
307,MN,2036,347.8,HighRECost
308,MN,2038,416.8,HighRECost
309,MN,2040,342.0,HighRECost
310,MN,2042,431.8,HighRECost
311,MN,2044,354.3,HighRECost
312,MN,2046,283.1,HighRECost
313,MN,2048,122.1,HighRECost
314,MN,2050,120.1,HighRECost
315,MO,2022,701.4,HighRECost
316,MO,2024,592.1,HighRECost
317,MO,2026,434.8,HighRECost
318,MO,2028,403.4,HighRECost
319,MO,2030,447.6,HighRECost
320,MO,2032,434.8,HighRECost
321,MO,2034,483.0,HighRECost
322,MO,2036,463.1,HighRECost
323,MO,2038,505.5,HighRECost
324,MO,2040,453.3,HighRECost
325,MO,2042,481.0,HighRECost
326,MO,2044,406.1,HighRECost
327,MO,2046,358.5,HighRECost
328,MO,2048,222.7,HighRECost
329,MO,2050,211.0,HighRECost
330,MS,2022,713.2,HighRECost
331,MS,2024,631.7,HighRECost
332,MS,2026,489.8,HighRECost
333,MS,2028,441.1,HighRECost
334,MS,2030,429.1,HighRECost
335,MS,2032,427.0,HighRECost
336,MS,2034,465.8,HighRECost
337,MS,2036,484.8,HighRECost
338,MS,2038,501.7,HighRECost
339,MS,2040,501.1,HighRECost
340,MS,2042,509.9,HighRECost
341,MS,2044,487.9,HighRECost
342,MS,2046,452.3,HighRECost
343,MS,2048,399.8,HighRECost
344,MS,2050,377.6,HighRECost
345,MT,2022,599.1,HighRECost
346,MT,2024,525.3,HighRECost
347,MT,2026,420.8,HighRECost
348,MT,2028,425.4,HighRECost
349,MT,2030,456.6,HighRECost
350,MT,2032,436.7,HighRECost
351,MT,2034,451.2,HighRECost
352,MT,2036,437.1,HighRECost
353,MT,2038,454.0,HighRECost
354,MT,2040,418.4,HighRECost
355,MT,2042,433.8,HighRECost
356,MT,2044,368.0,HighRECost
357,MT,2046,326.5,HighRECost
358,MT,2048,247.9,HighRECost
359,MT,2050,255.9,HighRECost
360,NC,2022,666.4,HighRECost
361,NC,2024,604.7,HighRECost
362,NC,2026,492.8,HighRECost
363,NC,2028,477.0,HighRECost
364,NC,2030,476.2,HighRECost
365,NC,2032,441.9,HighRECost
366,NC,2034,453.7,HighRECost
367,NC,2036,478.6,HighRECost
368,NC,2038,530.6,HighRECost
369,NC,2040,554.0,HighRECost
370,NC,2042,571.8,HighRECost
371,NC,2044,511.2,HighRECost
372,NC,2046,408.3,HighRECost
373,NC,2048,321.2,HighRECost
374,NC,2050,308.2,HighRECost
375,ND,2022,761.5,HighRECost
376,ND,2024,592.2,HighRECost
377,ND,2026,389.7,HighRECost
378,ND,2028,383.7,HighRECost
379,ND,2030,538.6,HighRECost
380,ND,2032,451.2,HighRECost
381,ND,2034,488.1,HighRECost
382,ND,2036,347.7,HighRECost
383,ND,2038,416.8,HighRECost
384,ND,2040,341.9,HighRECost
385,ND,2042,431.8,HighRECost
386,ND,2044,354.2,HighRECost
387,ND,2046,283.2,HighRECost
388,ND,2048,122.2,HighRECost
389,ND,2050,120.2,HighRECost
390,NE,2022,749.8,HighRECost
391,NE,2024,582.1,HighRECost
392,NE,2026,378.7,HighRECost
393,NE,2028,369.4,HighRECost
394,NE,2030,519.9,HighRECost
395,NE,2032,441.8,HighRECost
396,NE,2034,482.1,HighRECost
397,NE,2036,349.6,HighRECost
398,NE,2038,415.0,HighRECost
399,NE,2040,340.9,HighRECost
400,NE,2042,427.4,HighRECost
